iter	RMSE
0	477.9103917
1	457.0890118
2	437.3066861
3	418.4932221
4	400.7274151
5	384.5835039
6	368.6173541
7	353.5191269
8	339.3879805
9	325.4307826
10	312.207768
11	299.8529014
12	288.3498244
13	277.6737128
14	267.3820565
15	257.5134131
16	248.1826583
17	239.2434129
18	230.9430795
19	222.9002718
20	215.3138716
21	207.8618757
22	201.5658905
23	194.9069995
24	189.0910028
25	183.5031975
26	177.8974234
27	172.7596277
28	167.8847051
29	162.9898682
30	158.6527629
31	155.3131678
32	151.1418854
33	147.2793447
34	143.6815227
35	140.3778826
36	136.8518499
37	133.211132
38	129.8242784
39	126.8455233
40	123.9657644
41	121.2754909
42	118.788789
43	116.3425542
44	114.0375355
45	111.4754549
46	109.3213792
47	107.222453
48	105.3557559
49	103.4940044
50	101.3187732
51	99.67311947
52	98.06788847
53	96.47904098
54	94.29914485
55	92.76612424
56	91.34938787
57	89.72224737
58	88.00352523
59	86.54830158
60	85.2441169
61	83.96626167
62	82.74966195
63	81.6364187
64	80.591773
65	79.56850886
66	78.66728271
67	77.79218578
68	76.47559602
69	75.15331812
70	74.21264112
71	73.21352622
72	72.07748843
73	71.27129069
74	70.26457576
75	69.38308122
76	68.65590156
77	67.96950155
78	66.88302933
79	66.14406544
80	65.13497793
81	64.21486734
82	63.47871767
83	62.91588295
84	62.36436194
85	61.39248862
86	60.81996788
87	59.72226982
88	59.09249443
89	58.3170069
90	57.73101525
91	57.10500623
92	56.59365771
93	56.03144766
94	55.54760572
95	55.03669947
96	54.31136143
97	53.64889087
98	53.03063396
99	52.55941187
100	51.85136741
101	51.36784115
102	50.86129115
103	50.41887018
104	50.03747954
105	49.5900449
106	49.07603769
107	48.65414762
108	48.26915819
109	47.83492
110	47.4596819
111	47.05948607
112	46.66823622
113	46.16322855
114	45.85219857
115	45.46246721
116	44.93521761
117	44.66109426
118	44.33198591
119	44.10734496
120	43.77903813
121	43.53087601
122	43.11675252
123	42.80941779
124	42.34200149
125	42.02387903
126	41.76176013
127	41.47102109
128	41.24831209
129	41.0094194
130	40.78378951
131	40.59647941
132	40.24892274
133	40.04879599
134	39.74268328
135	39.22791974
136	38.94215465
137	38.73548409
138	38.51796309
139	38.23983965
140	37.88531226
141	37.6012659
142	37.36602993
143	37.11690338
144	36.88201588
145	36.68940861
146	36.43160316
147	36.18166098
148	35.94765239
149	35.75775119
150	35.62616421
151	35.44113023
152	35.28958481
153	35.04754943
154	34.84678352
155	34.55879227
156	34.4051283
157	34.25406992
158	34.06745566
159	33.90974377
160	33.74437071
161	33.55690228
162	33.38433247
163	33.13837133
164	32.8963788
165	32.74495058
166	32.57114658
167	32.44601097
168	32.30587006
169	32.14142369
170	31.93508553
171	31.7485661
172	31.61168354
173	31.43445533
174	31.26414072
175	31.12482073
176	31.03307022
177	30.88814339
178	30.69064943
179	30.47596204
180	30.36514887
181	30.28259637
182	30.16956719
183	30.05103621
184	29.92456068
185	29.76499526
186	29.63464113
187	29.51309356
188	29.34202439
189	29.17410704
190	29.08061386
191	28.95244726
192	28.82225689
193	28.71921021
194	28.53594989
195	28.39489926
196	28.25174255
197	28.18591279
198	28.07463665
199	27.97433965
200	27.78360312
201	27.68787721
202	27.55376264
203	27.43539857
204	27.33325144
205	27.26535343
206	27.16284175
207	27.05436297
208	26.96486401
209	26.8775522
210	26.76733276
211	26.63637365
212	26.49612095
213	26.39107566
214	26.28217289
215	26.20221748
216	26.10351442
217	26.04511776
218	25.95058843
219	25.87620674
220	25.77622189
221	25.69134399
222	25.60848294
223	25.55070791
224	25.4713444
225	25.38163339
226	25.28925917
227	25.21321814
228	25.14409728
229	25.07226186
230	24.98786353
231	24.91155374
232	24.8043853
233	24.72528464
234	24.62996069
235	24.55904727
236	24.49684771
237	24.42920969
238	24.33019487
239	24.27463663
240	24.2050965
241	24.11511266
242	24.05449682
243	23.98766271
244	23.89245256
245	23.82034811
246	23.73519028
247	23.69044747
248	23.63078793
249	23.56632559
250	23.50842201
251	23.44027753
252	23.40441981
253	23.34091937
254	23.27815737
255	23.22281697
256	23.1739031
257	23.10905373
258	23.02326301
259	22.91976402
260	22.82858087
261	22.77818288
262	22.70264227
263	22.65777905
264	22.57724577
265	22.51076626
266	22.45434551
267	22.37521621
268	22.3228719
269	22.27418785
270	22.23008812
271	22.15940403
272	22.10375626
273	22.05184071
274	22.00536624
275	21.95073556
276	21.90997661
277	21.85799344
278	21.81258065
279	21.77107815
280	21.71769197
281	21.6499164
282	21.60752143
283	21.57052927
284	21.52592762
285	21.45827303
286	21.40942029
287	21.31413034
288	21.25889946
289	21.21799839
290	21.13845773
291	21.07755703
292	21.02232922
