iter	RMSE
293	20.96500758
294	20.93128539
295	20.88071402
296	20.82525216
297	20.79203052
298	20.74590547
299	20.71427263
300	20.64319115
301	20.6012849
302	20.55627629
303	20.51753916
304	20.46647345
305	20.42912842
306	20.39742254
307	20.36691025
308	20.33177886
309	20.27612053
310	20.2121942
311	20.18944882
312	20.15799257
313	20.11945062
314	20.08510252
315	20.05418214
316	20.01687629
317	19.975029
318	19.94692834
319	19.91190048
320	19.88583917
321	19.84684995
322	19.79410837
323	19.7576563
324	19.72303366
325	19.68462325
326	19.64509348
327	19.61237582
328	19.57115487
329	19.54394404
330	19.50470944
331	19.47982598
332	19.45654917
333	19.43007217
334	19.37473709
335	19.3499215
336	19.30698648
337	19.28019538
338	19.23577102
339	19.20331283
340	19.18782179
341	19.17023896
342	19.15000861
343	19.13172057
344	19.08542992
345	19.03504103
346	19.0124511
347	18.99582265
348	18.96162704
349	18.9449839
350	18.89870151
351	18.86583739
352	18.84979497
353	18.82703132
354	18.79975653
355	18.76238171
356	18.73968805
357	18.70646545
358	18.67307601
359	18.65833899
360	18.61536774
361	18.59174731
362	18.57651265
363	18.55557968
364	18.53551515
365	18.51381846
366	18.48213659
367	18.45870177
368	18.43708677
369	18.38805869
370	18.34446044
371	18.31574879
372	18.27340636
373	18.25550992
374	18.24057994
375	18.23008805
376	18.20176144
377	18.16750447
378	18.1529222
379	18.12928746
380	18.09949747
381	18.08524933
382	18.05150285
383	18.03542887
384	18.01323337
385	17.98950384
386	17.96896799
387	17.95082216
388	17.93490391
389	17.89536869
390	17.85265769
391	17.83019029
392	17.81177447
393	17.77418216
394	17.74677923
395	17.7210241
396	17.70355753
397	17.68331039
398	17.66331557
399	17.64525293
400	17.6333491
401	17.6068132
402	17.58433786
403	17.57264458
404	17.5423744
405	17.51273617
406	17.4894982
407	17.47602498
408	17.45973982
409	17.44410686
410	17.43226114
411	17.3923538
412	17.36387642
413	17.34121866
414	17.31523347
415	17.29727737
416	17.26426979
417	17.24789292
418	17.23205874
419	17.21880922
420	17.20736811
421	17.18252021
422	17.17148566
423	17.16070903
424	17.13115837
425	17.12158162
426	17.10621223
427	17.06566238
428	17.04571946
429	17.03426574
430	17.01250228
431	16.99238621
432	16.9665282
433	16.94835845
434	16.91762515
435	16.90052496
436	16.88003432
437	16.85529096
438	16.84803482
439	16.84012161
440	16.81795823
441	16.79518831
442	16.77259129
443	16.74861352
444	16.73680829
445	16.71846182
446	16.69816564
447	16.68951464
448	16.67091315
449	16.65263151
450	16.62512411
451	16.59854681
452	16.57351378
453	16.56481279
454	16.53889458
455	16.52459461
456	16.5154822
457	16.48709821
458	16.46158182
459	16.44410966
460	16.43028001
461	16.42134003
462	16.40826701
463	16.39501409
464	16.37278459
465	16.34111021
466	16.32557373
467	16.30712127
468	16.28642906
469	16.27459999
470	16.25762747
471	16.23655489
472	16.21879302
473	16.21018829
474	16.19852479
475	16.18556855
476	16.17389826
477	16.15565585
478	16.14225519
479	16.12518021
480	16.10750777
481	16.08025122
482	16.06821115
483	16.05581257
484	16.04492058
485	16.0209368
486	16.00111645
487	15.98643167
488	15.97920784
489	15.96876307
490	15.96211331
491	15.95298239
492	15.93582907
493	15.9241153
494	15.91580124
495	15.89952146
496	15.88395952
497	15.87272757
498	15.85812238
499	15.83547983
