iter	Passed	Remaining
291	5999	4273
292	6021	4254
293	6029	4224
294	6044	4200
295	6052	4171
296	6071	4149
297	6081	4122
298	6097	4098
299	6112	4074
300	6132	4054
301	6142	4026
302	6150	3998
303	6170	3978
304	6184	3953
305	6200	3931
306	6230	3916
307	6241	3891
308	6256	3867
309	6275	3846
310	6290	3822
311	6300	3796
312	6312	3771
313	6324	3746
314	6345	3726
315	6357	3701
316	6369	3677
317	6379	3651
318	6395	3628
319	6425	3614
320	6495	3622
321	6557	3624
322	6565	3597
323	6578	3573
324	6588	3547
325	6602	3523
326	6611	3497
327	6619	3471
328	6635	3448
329	6648	3425
330	6663	3402
331	6677	3378
332	6691	3355
333	6727	3343
334	6736	3317
335	6763	3301
336	6849	3313
337	6863	3289
338	6880	3267
339	6893	3244
340	6926	3229
341	6943	3207
342	6990	3199
343	7011	3179
344	7040	3162
345	7053	3139
346	7071	3117
347	7090	3096
348	7105	3074
349	7128	3054
350	7137	3030
351	7147	3005
352	7162	2982
353	7171	2957
354	7203	2942
355	7230	2924
356	7249	2903
357	7276	2886
358	7283	2860
359	7322	2847
360	7341	2826
361	7363	2807
362	7372	2782
363	7391	2761
364	7401	2737
365	7409	2712
366	7440	2696
367	7491	2687
368	7499	2662
369	7519	2642
370	7537	2620
371	7557	2600
372	7570	2577
373	7580	2553
374	7588	2529
375	7600	2506
376	7609	2482
377	7625	2461
378	7640	2439
379	7663	2420
380	7699	2404
381	7720	2384
382	7762	2371
383	7775	2348
384	7785	2325
385	7798	2303
386	7810	2280
387	7819	2257
388	7833	2235
389	7842	2211
390	7850	2188
391	7860	2165
392	7872	2143
393	7885	2121
394	7911	2103
395	7937	2084
396	7948	2062
397	7957	2039
398	7971	2017
399	8000	2000
400	8009	1977
401	8027	1956
402	8035	1934
403	8046	1912
404	8065	1891
405	8074	1869
406	8100	1851
407	8123	1831
408	8130	1808
409	8144	1787
410	8153	1765
411	8161	1743
412	8175	1722
413	8188	1700
414	8209	1681
415	8219	1659
416	8231	1638
417	8239	1616
418	8248	1594
419	8268	1574
420	8287	1555
421	8298	1533
422	8321	1514
423	8329	1493
424	8347	1473
425	8356	1451
426	8364	1429
427	8381	1409
428	8389	1388
429	8402	1367
430	8409	1346
431	8427	1326
432	8439	1305
433	8456	1286
434	8468	1265
435	8490	1246
436	8499	1225
437	8520	1206
438	8532	1185
439	8549	1165
440	8558	1144
441	8572	1124
442	8581	1104
443	8596	1084
444	8605	1063
445	8611	1042
446	8617	1021
447	8637	1002
448	8656	983
449	8665	962
450	8673	942
451	8698	923
452	8706	903
453	8719	883
454	8727	863
455	8743	843
456	8754	823
457	8770	804
458	8778	784
459	8800	765
460	8812	745
461	8824	725
462	8831	705
463	8849	686
464	8861	667
465	8878	647
466	8884	627
467	8893	608
468	8911	589
469	8919	569
470	8930	549
471	8950	530
472	8959	511
473	8977	492
474	8984	472
475	8997	453
476	9030	435
477	9042	416
478	9056	397
479	9072	378
480	9089	359
481	9098	339
482	9119	320
483	9129	301
484	9153	283
485	9162	263
486	9192	245
487	9203	226
488	9209	207
489	9223	188
490	9230	169
491	9250	150
492	9258	131
493	9265	112
494	9289	93
495	9298	74
496	9314	56
497	9336	37
498	9350	18
499	9395	0
